,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
510,MAZDA CX-3,2.0,4.0,SemiAuto-6,4WD,Gasoline,small car,3,27,32,29,6,No
511,MAZDA CX-9,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,22,28,24,5,No
512,MAZDA CX-9,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,20,26,23,5,No
513,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,17,22,19,3,No
514,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,17,23,19,3,No
515,MERCEDES-BENZ AMG C63,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,18,24,20,4,No
516,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,17,22,19,3,No
517,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,17,23,19,3,No
518,MERCEDES-BENZ AMG C63 S,4.0,8.0,Auto-7,2WD,Gasoline,small car,5,18,24,20,4,No
519,MERCEDES-BENZ AMG CLA45 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,3,23,30,26,5,No
520,MERCEDES-BENZ AMG CLS63 4Matic,5.5,8.0,Auto-7,4WD,Gasoline,small car,3,16,22,18,3,No
521,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,midsize car,5,15,22,18,3,No
522,MERCEDES-BENZ AMG E63 S 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,station wagon,5,16,22,18,3,No
523,MERCEDES-BENZ AMG GLA45 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,station wagon,3,22,28,25,5,No
524,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3,17,22,19,3,No
525,MERCEDES-BENZ AMG GLE 43 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3,17,23,19,3,No
526,MERCEDES-BENZ AMG GLE63,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3,14,18,15,2,No
527,MERCEDES-BENZ AMG GLE63 S,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3,14,18,15,2,No
528,MERCEDES-BENZ AMG GLS63,5.5,8.0,Auto-7,4WD,Gasoline,standard SUV,3,13,18,15,2,No
529,MERCEDES-BENZ AMG GT,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5,16,21,18,3,No
530,MERCEDES-BENZ AMG GT,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5,16,22,18,3,No
531,MERCEDES-BENZ AMG GT S,4.0,8.0,AutoMan-7,2WD,Gasoline,small car,5,16,22,18,3,No
532,MERCEDES-BENZ AMG S63 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,large car,5,17,26,20,4,No
533,MERCEDES-BENZ AMG SL63,5.5,8.0,Auto-7,2WD,Gasoline,small car,3,16,25,19,3,No
534,MERCEDES-BENZ AMG SL65,6.0,12.0,Auto-7,2WD,Gasoline,small car,3,13,22,16,2,No
535,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5,22,29,25,5,No
536,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5,22,30,25,5,No
537,MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,small car,5,24,33,27,6,No
538,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5,22,29,25,5,No
539,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5,22,30,25,5,No
540,MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small car,5,23,32,26,5,No
541,MERCEDES-BENZ CLA250,2.0,4.0,AutoMan-7,2WD,Gasoline,small car,5,24,37,29,6,No
542,MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small car,5,24,32,27,6,No
543,MERCEDES-BENZ CLS550,4.7,8.0,Auto-9,2WD,Gasoline,small car,3,18,26,21,4,No
544,MERCEDES-BENZ CLS550 4Matic,4.7,8.0,Auto-9,4WD,Gasoline,small car,3,17,25,20,4,No
545,MERCEDES-BENZ E300,2.0,4.0,Auto-9,2WD,Gasoline,midsize car,5,22,30,25,5,No
546,MERCEDES-BENZ E300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,midsize car,5,21,29,24,5,No
547,MERCEDES-BENZ GLA 250,2.0,4.0,AutoMan-7,2WD,Gasoline,station wagon,5,24,33,27,6,No
548,MERCEDES-BENZ GLA250 4Matic,2.0,4.0,AutoMan-7,4WD,Gasoline,small SUV,5,23,31,26,5,No
549,MERCEDES-BENZ GLC 300,2.0,4.0,Auto-9,2WD,Gasoline,small SUV,5,22,28,24,5,No
550,MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,21,28,24,5,No
551,MERCEDES-BENZ GLC 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,small SUV,5,22,27,24,5,No
552,MERCEDES-BENZ GLE350,3.5,6.0,Auto-7,2WD,Gasoline,standard SUV,3,18,23,20,4,No
553,MERCEDES-BENZ GLE350 4Matic,3.5,6.0,Auto-7,4WD,Gasoline,standard SUV,3,18,22,19,3,No
554,MERCEDES-BENZ GLS450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,standard SUV,3,17,22,19,3,No
555,MERCEDES-BENZ GLS550 4Matic,4.7,8.0,Auto-9,4WD,Gasoline,standard SUV,3,14,19,16,2,No
556,MERCEDES-BENZ S560 4Matic,4.0,8.0,Auto-9,4WD,Gasoline,large car,5,17,27,21,4,No
557,MERCEDES-BENZ S560 4Matic Maybach,4.0,8.0,Auto-9,4WD,Gasoline,large car,5,16,25,19,3,No
558,MERCEDES-BENZ SL550,4.7,8.0,Auto-9,2WD,Gasoline,small car,3,17,25,20,4,No
559,MERCEDES-BENZ SLC300,2.0,4.0,Auto-9,2WD,Gasoline,small car,3,25,32,27,6,No
560,MINI Cooper Clubman,1.5,3.0,Man-6,2WD,Gasoline,midsize car,7,24,34,28,6,No
561,MINI Cooper Clubman,1.5,3.0,SemiAuto-6,2WD,Gasoline,midsize car,7,24,32,27,6,No
562,MINI Cooper Clubman All4,1.5,3.0,Man-6,4WD,Gasoline,midsize car,3,22,32,26,5,No
563,MINI Cooper Clubman All4,1.5,3.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
564,MINI Cooper Convertible,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
565,MINI Cooper Convertible,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
566,MINI Cooper Countryman,1.5,3.0,Man-6,2WD,Gasoline,midsize car,3,24,34,28,6,No
567,MINI Cooper Countryman,1.5,3.0,SemiAuto-6,2WD,Gasoline,midsize car,3,24,32,27,6,No
568,MINI Cooper Countryman All4,1.5,3.0,Man-6,4WD,Gasoline,midsize car,3,22,32,26,5,No
569,MINI Cooper Countryman All4,1.5,3.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,30,25,5,No
570,MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,37,32,7,Yes
571,MINI Cooper Hardtop,1.5,3.0,Man-6,2WD,Gasoline,small car,7,28,38,32,7,Yes
572,MINI Cooper Hardtop,1.5,3.0,SemiAuto-6,2WD,Gasoline,small car,7,27,35,30,7,Yes
573,MINI Cooper S Clubman,2.0,4.0,Man-6,2WD,Gasoline,midsize car,7,22,31,25,5,No
574,MINI Cooper S Clubman,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,23,32,27,6,No
575,MINI Cooper S Clubman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,7,21,30,24,5,No
576,MINI Cooper S Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,22,31,26,5,No
577,MINI Cooper S Convertible,2.0,4.0,Man-6,2WD,Gasoline,small car,7,23,32,26,5,No
578,MINI Cooper S Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,25,33,28,6,No
579,MINI Cooper S Countryman,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,23,32,27,6,No
580,MINI Cooper S Countryman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,7,21,31,24,5,No
581,MINI Cooper S Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,7,22,31,26,5,No
582,MINI Cooper S Hardtop,2.0,4.0,Man-6,2WD,Gasoline,small car,7,23,32,26,5,No
583,MINI Cooper S Hardtop,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,25,32,28,6,No
584,MINI JCW Countryman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,3,20,29,24,5,No
585,MINI JCW Countryman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,22,30,25,5,No
586,MINI John Cooper Works Clubman All4,2.0,4.0,Man-6,4WD,Gasoline,midsize car,3,21,31,24,5,No
587,MINI John Cooper Works Clubman All4,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,31,26,5,No
588,MINI John Cooper Works Convertible,2.0,4.0,Man-6,2WD,Gasoline,small car,3,22,31,25,5,No
589,MINI John Cooper Works Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,25,33,28,6,No
590,MINI John Cooper Works Hardtop,2.0,4.0,Man-6,2WD,Gasoline,small car,3,23,32,26,5,No
591,MINI John Cooper Works Hardtop,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,3,25,32,28,6,No
592,MITSUBISHI Mirage,1.2,3.0,CVT,2WD,Gasoline,small car,5,37,43,39,9,Yes
593,MITSUBISHI Mirage,1.2,3.0,Man-5,2WD,Gasoline,small car,5,33,41,36,8,Yes
594,MITSUBISHI Mirage G4,1.2,3.0,CVT,2WD,Gasoline,small car,5,35,41,37,8,Yes
595,MITSUBISHI Mirage G4,1.2,3.0,Man-5,2WD,Gasoline,small car,5,33,40,35,8,Yes
596,NISSAN 370Z,3.7,6.0,Man-6,2WD,Gasoline,small car,3,18,26,21,4,No
597,NISSAN 370Z,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,3,19,26,22,4,No
598,NISSAN 370Z Roadster,3.7,6.0,Man-6,2WD,Gasoline,small car,3,17,24,20,4,No
599,NISSAN 370Z Roadster,3.7,6.0,SemiAuto-7,2WD,Gasoline,small car,3,18,25,21,4,No
600,NISSAN Armada,5.6,8.0,SemiAuto-7,2WD,Gasoline,standard SUV,3,14,19,16,2,No
601,NISSAN Armada,5.6,8.0,SemiAuto-7,4WD,Gasoline,standard SUV,3,13,18,15,2,No
602,NISSAN Versa,1.6,4.0,Auto-4,2WD,Gasoline,small car,3,26,35,29,6,No
603,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,3,31,39,34,8,Yes
604,NISSAN Versa,1.6,4.0,CVT,2WD,Gasoline,small car,5,31,39,34,8,Yes
605,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,3,27,36,30,7,Yes
606,NISSAN Versa,1.6,4.0,Man-5,2WD,Gasoline,small car,5,27,36,30,7,Yes
607,PORSCHE 911 Carrera,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,22,30,25,5,No
608,PORSCHE 911 Carrera,3.0,6.0,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
609,PORSCHE 911 Carrera 4,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,22,28,24,5,No
610,PORSCHE 911 Carrera 4,3.0,6.0,Man-7,4WD,Gasoline,small car,1,20,28,23,5,No
611,PORSCHE 911 Carrera 4 Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
612,PORSCHE 911 Carrera 4 Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
613,PORSCHE 911 Carrera 4 GTS,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,20,26,22,4,No
614,PORSCHE 911 Carrera 4 GTS,3.0,6.0,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
615,PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,20,25,22,4,No
616,PORSCHE 911 Carrera 4 GTS Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
617,PORSCHE 911 Carrera 4S,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
618,PORSCHE 911 Carrera 4S,3.0,6.0,Man-7,4WD,Gasoline,small car,1,20,28,23,5,No
619,PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,21,28,24,5,No
620,PORSCHE 911 Carrera 4S Cabriolet,3.0,6.0,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
621,PORSCHE 911 Carrera Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
622,PORSCHE 911 Carrera Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
623,PORSCHE 911 Carrera GTS,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,20,26,23,5,No
624,PORSCHE 911 Carrera GTS,3.0,6.0,Man-7,2WD,Gasoline,small car,1,18,26,21,4,No
625,PORSCHE 911 Carrera GTS Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,20,26,22,4,No
626,PORSCHE 911 Carrera GTS Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1,18,26,21,4,No
627,PORSCHE 911 Carrera S,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
628,PORSCHE 911 Carrera S,3.0,6.0,Man-7,2WD,Gasoline,small car,1,20,29,23,5,No
629,PORSCHE 911 Carrera S Cabriolet,3.0,6.0,AMS-7,2WD,Gasoline,small car,1,22,28,24,5,No
630,PORSCHE 911 Carrera S Cabriolet,3.0,6.0,Man-7,2WD,Gasoline,small car,1,20,28,23,5,No
631,PORSCHE 911 Targa 4,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,22,28,24,5,No
632,PORSCHE 911 Targa 4,3.0,6.0,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
633,PORSCHE 911 Targa 4 GTS,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,20,26,22,4,No
634,PORSCHE 911 Targa 4 GTS,3.0,6.0,Man-7,4WD,Gasoline,small car,1,18,26,21,4,No
635,PORSCHE 911 Targa 4S,3.0,6.0,AMS-7,4WD,Gasoline,small car,1,21,27,24,5,No
636,PORSCHE 911 Targa 4S,3.0,6.0,Man-7,4WD,Gasoline,small car,1,19,28,22,4,No
637,PORSCHE 911 Turbo,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
638,PORSCHE 911 Turbo Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
639,PORSCHE 911 Turbo S,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
640,PORSCHE 911 Turbo S Cabriolet,3.8,6.0,AMS-7,4WD,Gasoline,small car,1,19,24,21,4,No
641,PORSCHE Boxster,2.0,4.0,AMS-7,2WD,Gasoline,small car,3,22,29,25,5,No
642,PORSCHE Boxster,2.0,4.0,Man-6,2WD,Gasoline,small car,3,21,28,24,5,No
643,PORSCHE Boxster S,2.5,4.0,AMS-7,2WD,Gasoline,small car,3,21,28,24,5,No
644,PORSCHE Boxster S,2.5,4.0,Man-6,2WD,Gasoline,small car,3,20,26,22,4,No
645,PORSCHE Cayenne GTS,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,16,23,19,3,No
646,PORSCHE Cayenne S,3.6,6.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,17,24,20,4,No
647,PORSCHE Macan,2.0,4.0,AMS-7,4WD,Gasoline,small SUV,3,20,25,22,4,No
648,PORSCHE Macan GTS,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3,17,23,19,3,No
649,PORSCHE Macan S,3.0,6.0,AMS-7,4WD,Gasoline,small SUV,3,17,23,19,3,No
650,PORSCHE Panamera,3.0,6.0,AMS-8,2WD,Gasoline,large car,5,21,28,24,5,No
651,PORSCHE Panamera 4,3.0,6.0,AMS-8,4WD,Gasoline,large car,5,21,27,23,5,No
652,PORSCHE Panamera 4 Executive,3.0,6.0,AMS-8,4WD,Gasoline,large car,5,21,27,23,5,No
653,PORSCHE Panamera 4S,2.9,6.0,AMS-8,4WD,Gasoline,large car,5,21,28,23,5,No
654,PORSCHE Panamera 4S Executive,2.9,6.0,AMS-8,4WD,Gasoline,large car,5,21,28,23,5,No
655,PORSCHE Panamera Turbo,4.0,8.0,AMS-8,4WD,Gasoline,large car,3,18,25,21,4,No
656,PORSCHE Panamera Turbo Executive,4.0,8.0,AMS-8,4WD,Gasoline,large car,3,18,25,21,4,No
657,RAM 1500,5.7,8.0,Auto-6,4WD,Gasoline,pickup,3,13,18,14,1,No
658,RAM 1500,5.7,8.0,Auto-8,2WD,Gasoline,pickup,3,15,22,17,3,No
659,RAM 1500,5.7,8.0,Auto-8,4WD,Gasoline,pickup,3,15,21,17,3,No
660,RAM Promaster City,2.4,4.0,Auto-9,2WD,Gasoline,special purpose,3,21,28,24,5,No
661,SUBARU Crosstrek,2.0,4.0,Man-6,4WD,Gasoline,small SUV,7,23,29,25,5,No
662,SUBARU Crosstrek,2.0,4.0,SCV-7,4WD,Gasoline,small SUV,7,27,33,29,6,No
663,SUBARU Forester,2.0,4.0,SCV-8,4WD,Gasoline,small SUV,1,23,27,25,5,No
664,SUBARU Forester,2.5,4.0,Man-6,4WD,Gasoline,small SUV,7,22,28,24,5,No
665,SUBARU Forester,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,26,32,28,6,No
666,SUBARU Impreza,2.0,4.0,Man-5,4WD,Gasoline,midsize car,7,24,32,27,6,No
667,SUBARU Impreza,2.0,4.0,Man-5,4WD,Gasoline,station wagon,7,24,31,26,5,No
668,SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,28,38,32,7,Yes
669,SUBARU Impreza,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,28,37,31,7,Yes
670,SUBARU Impreza Sport,2.0,4.0,Man-5,4WD,Gasoline,midsize car,7,23,31,26,5,No
671,SUBARU Impreza Sport,2.0,4.0,Man-5,4WD,Gasoline,station wagon,7,22,30,25,5,No
672,SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,midsize car,7,27,36,30,7,Yes
673,SUBARU Impreza Sport,2.0,4.0,SCV-7,4WD,Gasoline,station wagon,7,27,35,30,7,Yes
674,SUBARU Legacy,2.5,4.0,SCV-7,4WD,Gasoline,midsize car,7,25,34,29,6,No
675,SUBARU Legacy,3.6,6.0,SCV-6,4WD,Gasoline,midsize car,3,20,28,23,5,No
676,SUBARU Outback,2.5,4.0,SCV-7,4WD,Gasoline,small SUV,7,25,32,28,6,No
677,SUBARU Outback,3.6,6.0,SCV-6,4WD,Gasoline,small SUV,3,20,27,22,4,No
678,SUBARU WRX,2.0,4.0,Man-6,4WD,Gasoline,small car,1,21,27,23,5,No
679,SUBARU WRX,2.0,4.0,SCV-8,4WD,Gasoline,small car,1,18,24,21,4,No
680,SUBARU WRX,2.5,4.0,Man-6,4WD,Gasoline,small car,1,17,22,19,3,No
681,TOYOTA 4Runner,4.0,6.0,SemiAuto-5,2WD,Gasoline,standard SUV,3,17,21,18,3,No
682,TOYOTA 4Runner,4.0,6.0,SemiAuto-5,4WD,Gasoline,standard SUV,3,17,20,18,3,No
683,TOYOTA Avalon,3.5,6.0,SemiAuto-6,2WD,Gasoline,midsize car,3,21,30,24,5,No
684,TOYOTA Avalon Hybrid,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,40,39,40,9,Yes
685,TOYOTA C-HR,2.0,4.0,SCV-7,2WD,Gasoline,small car,3,27,31,29,6,No
686,TOYOTA Camry,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,29,41,34,8,Yes
687,TOYOTA Camry,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,33,26,5,No
688,TOYOTA Camry Hybrid LE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,51,53,52,10,Elite
689,TOYOTA Camry Hybrid XLE/SE,2.5,4.0,SCV-6,2WD,Gasoline,midsize car,7,44,47,46,10,Elite
690,TOYOTA Camry LE/SE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
691,TOYOTA Camry XLE/XSE,2.5,4.0,SemiAuto-8,2WD,Gasoline,midsize car,7,28,39,32,7,Yes
692,TOYOTA Camry XSE,3.5,6.0,SemiAuto-8,2WD,Gasoline,midsize car,5,22,32,26,5,No
693,TOYOTA Corolla,1.8,4.0,CVT,2WD,Gasoline,midsize car,3,28,36,32,7,Yes
694,TOYOTA Corolla,1.8,4.0,Man-6,2WD,Gasoline,midsize car,3,27,35,30,7,Yes
695,TOYOTA Corolla,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,3,28,35,31,7,Yes
696,TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,29,38,33,8,Yes
697,TOYOTA Corolla LE Eco,1.8,4.0,CVT,2WD,Gasoline,midsize car,5,30,40,34,8,Yes
698,TOYOTA Corolla iM,1.8,4.0,Man-6,2WD,Gasoline,midsize car,5,27,35,30,7,Yes
699,TOYOTA Corolla iM,1.8,4.0,SCV-7,2WD,Gasoline,midsize car,5,28,36,31,7,Yes
700,TOYOTA Land Cruiser,5.7,8.0,SemiAuto-8,4WD,Gasoline,standard SUV,3,13,18,15,2,No
701,TOYOTA Prius c,1.5,4.0,CVT,2WD,Gasoline,small car,7,48,43,46,10,Elite
702,TOYOTA RAV4,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,23,29,25,5,No
703,TOYOTA RAV4,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,22,28,25,5,No
704,TOYOTA RAV4 Hybrid,2.5,4.0,SCV-6,4WD,Gasoline,small SUV,7,34,30,32,7,Yes
705,TOYOTA RAV4 LE/XLE,2.5,4.0,SemiAuto-6,2WD,Gasoline,small SUV,3,23,30,26,5,No
706,TOYOTA RAV4 Limited,2.5,4.0,SemiAuto-6,4WD,Gasoline,small SUV,3,22,28,24,5,No
707,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,2WD,Gasoline,standard SUV,5,13,17,15,2,No
708,TOYOTA Sequoia,5.7,8.0,SemiAuto-6,4WD,Gasoline,standard SUV,5,13,17,14,1,No
709,TOYOTA Tundra,4.6,8.0,SemiAuto-6,2WD,Gasoline,pickup,3,15,19,16,2,No
710,TOYOTA Tundra,4.6,8.0,SemiAuto-6,4WD,Gasoline,pickup,3,14,18,16,2,No
711,TOYOTA Tundra,5.7,8.0,SemiAuto-6,2WD,Gasoline,pickup,5,13,18,15,2,No
712,TOYOTA Tundra,5.7,8.0,SemiAuto-6,4WD,Gasoline,pickup,5,13,17,14,1,No
713,TOYOTA Yaris,1.5,4.0,Auto-4,2WD,Gasoline,small car,3,30,35,32,7,Yes
714,TOYOTA Yaris,1.5,4.0,Man-5,2WD,Gasoline,small car,3,30,36,33,8,Yes
715,VOLKSWAGEN Beetle,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,26,33,29,6,No
716,VOLKSWAGEN Beetle Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,26,33,29,6,No
717,VOLKSWAGEN Beetle Dune,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,26,34,29,6,No
718,VOLKSWAGEN Beetle Dune Convertible,2.0,4.0,SemiAuto-6,2WD,Gasoline,small car,7,26,34,29,6,No
719,VOLKSWAGEN Golf R,2.0,4.0,AMS-7,4WD,Gasoline,small car,3,22,29,25,5,No
720,VOLKSWAGEN Golf R,2.0,4.0,Man-6,4WD,Gasoline,small car,3,21,29,24,5,No
721,VOLKSWAGEN Jetta,1.4,4.0,Man-5,2WD,Gasoline,small car,3,28,40,33,8,Yes
722,VOLKSWAGEN Jetta,1.4,4.0,SemiAuto-6,2WD,Gasoline,small car,5,28,38,32,7,Yes
723,VOLKSWAGEN Jetta,1.8,4.0,SemiAuto-6,2WD,Gasoline,small car,7,24,33,28,6,No
724,VOLKSWAGEN Jetta,2.0,4.0,AMS-6,2WD,Gasoline,small car,7,24,33,27,6,No
725,VOLKSWAGEN Passat,2.0,4.0,SemiAuto-6,2WD,Gasoline,midsize car,7,25,36,29,6,No
726,VOLKSWAGEN Tiguan,2.0,4.0,SemiAuto-8,2WD,Gasoline,small SUV,7,22,27,24,5,No
727,VOLKSWAGEN Tiguan 4Motion,2.0,4.0,SemiAuto-8,4WD,Gasoline,small SUV,7,21,27,23,5,No
728,VOLVO Atlas,3.6,6.0,SemiAuto-8,2WD,Gasoline,small SUV,5,18,25,20,4,No
729,VOLVO Atlas 4Motion,3.6,6.0,SemiAuto-8,4WD,Gasoline,small SUV,5,17,23,19,3,No
730,VOLVO S60,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,7,25,36,29,6,No
731,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,22,32,26,5,No
732,VOLVO S60,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,22,33,26,5,No
733,VOLVO S60 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,22,30,25,5,No
734,VOLVO S60 Inscription,2.0,4.0,SemiAuto-8,2WD,Gasoline,small car,3,25,36,29,6,No
735,VOLVO S60 Inscription,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,3,22,33,26,5,No
736,VOLVO S60 Polestar,2.0,4.0,SemiAuto-8,4WD,Gasoline,small car,1,20,27,22,4,No
737,VOLVO S90,2.0,4.0,SemiAuto-8,2WD,Gasoline,midsize car,3,24,34,27,6,No
738,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,22,31,25,5,No
739,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,3,23,32,26,5,No
740,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,23,32,26,5,No
741,VOLVO S90,2.0,4.0,SemiAuto-8,4WD,Gasoline,midsize car,5,22,31,25,5,No
742,VOLVO V60,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,3,25,36,29,6,No
743,VOLVO V60,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3,22,32,26,5,No
744,VOLVO V60,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3,22,33,26,5,No
745,VOLVO V60 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,3,22,30,25,5,No
746,VOLVO V60 Polestar,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,1,20,27,22,4,No
747,VOLVO V90,2.0,4.0,SemiAuto-8,2WD,Gasoline,station wagon,5,24,34,27,6,No
748,VOLVO V90,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5,22,31,25,5,No
749,VOLVO V90 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5,23,31,26,5,No
750,VOLVO V90 CC,2.0,4.0,SemiAuto-8,4WD,Gasoline,station wagon,5,22,29,25,5,No
